"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Included / United States","Price / United States","Compare At Price / United States","Included / International","Price / International","Compare At Price / International","Status"
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/08/28/2c/1724838392a0ee050b8756232c631227ac02289710.jpg",21,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/v4/j/spmp/2025/05/15/7a/17472929814ba6b974db6e081bf6bf703131a57877.jpg",22,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/f6/1712652579c8d4746c9b59e3bb2c7d0791aee5e705.jpg",23,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/2c/1712652578c0d4becbc4b2fe6c8918b585ef43a255.jpg",24,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/f6/1712652579911da5ca2d11976b94c6168089c8d168.jpg",25,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/2c/17126525785e1d4d8392ff8fc1a8ff966f7dac23b5.jpg",26,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/2e/17126525777c391d3bd0533763750f04c4abae68b4.jpg",27,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/2c/17126525787ea8f5429d113ce66c70882a1a7bac3b.jpg",28,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/2e/1712652577d17de59473075069f2d707298cfab673.jpg",29,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/4e/17126523603d947dfc45a4a27cfe5bf0dd5d900f0a.jpg",30,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/4e/17126523607f84a586ccb05edb4012b5d3fe0de975.jpg",31,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/54/1712652359b5929cb370c652f7fc4e644ab2bd2434.jpg",32,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/4e/1712652360c451c032cef939558e84420d4c997580.jpg",33,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/54/171265235937df27dbfbf99cbddeedd06e162dee0b.jpg",34,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/4e/1712652360c921877e9eb766c702673bae2117073a.jpg",35,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/54/17126523594b083c8ac4ef6af8a0e4421c19bf11d8.jpg",36,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/07/17/63/172119656266a0bc823c1885b36215828f5fbf8614.jpg",37,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/07/17/29/172119659865b21eaeea612192b6742816e42e779f.jpg",38,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/07/17/29/1721196598da10c1ac337cb42104b4578c9f63101a.jpg",39,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/07/17/2c/1721196599167b3a17857cfc9bae602d3f5e42d9b3.jpg",40,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/v4/j/spmp/2025/08/19/9f/175557494933bc22d5cc6918f08cb0d80138b4a498.jpg",41,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/b9/1712652565abeb20d5bc29323cf20055536b23a9fa_thumbnail_405x552.jpg",42,"","","","","","","","","","","","","","","","","","","","","","","","","",""
